Step	Temp
0	1.97
1	1.96993
2	1.96972
3	1.96936
4	1.96887
5	1.96823
6	1.96745
7	1.96652
8	1.96544
9	1.96422
10	1.96283
11	1.96129
12	1.95959
13	1.95772
14	1.95568
15	1.95346
16	1.95105
17	1.94846
18	1.94567
19	1.94267
20	1.93945
21	1.93601
22	1.93234
23	1.92842
24	1.92425
25	1.91981
26	1.9151
27	1.91009
28	1.90479
29	1.89916
30	1.89322
31	1.88693
32	1.88028
33	1.87327
34	1.86587
35	1.85807
36	1.84985
37	1.84121
38	1.83213
39	1.8226
40	1.81261
41	1.80213
42	1.79118
43	1.77972
44	1.76777
45	1.75531
46	1.74234
47	1.72886
48	1.71487
49	1.70038
50	1.6854
51	1.66993
52	1.654
53	1.63763
54	1.62083
55	1.60363
56	1.58606
57	1.56815
58	1.54995
59	1.53148
60	1.51278
61	1.49391
62	1.47489
63	1.45578
64	1.43661
65	1.41744
66	1.3983
67	1.37925
68	1.36031
69	1.34153
70	1.32294
71	1.3046
72	1.28653
73	1.26877
74	1.25136
75	1.23433
76	1.21771
77	1.20153
78	1.18583
79	1.17064
80	1.15599
81	1.14191
82	1.12843
83	1.11558
84	1.10339
85	1.09187
86	1.08106
87	1.07098
88	1.06165
89	1.05308
90	1.04529
91	1.03829
92	1.03207
93	1.02665
94	1.02201
95	1.01813
96	1.01501
97	1.01262
98	1.01092
99	1.00989
100	1.00947
101	1.00963
102	1.01031
103	1.01147
104	1.01304
105	1.01498
106	1.01723
107	1.01974
108	1.02245
109	1.02531
110	1.02828
111	1.03131
112	1.03437
113	1.03741
114	1.0404
115	1.04333
116	1.04617
117	1.0489
118	1.0515
119	1.05398
120	1.05631
121	1.05851
122	1.06057
123	1.06249
124	1.06427
125	1.06593
126	1.06747
127	1.06891
128	1.07024
129	1.07148
130	1.07264
131	1.07374
132	1.07477
133	1.07576
134	1.07671
135	1.07762
136	1.07851
137	1.07937
138	1.08021
139	1.08104
140	1.08186
141	1.08265
142	1.08344
143	1.0842
144	1.08495
145	1.08567
146	1.08637
147	1.08705
148	1.08769
149	1.08831
150	1.08889
151	1.08945
152	1.08997
153	1.09045
154	1.09092
155	1.09136
156	1.09178
157	1.0922
158	1.09261
159	1.09303
160	1.09346
161	1.09392
162	1.09441
163	1.09493
164	1.0955
165	1.09612
166	1.09679
167	1.09751
168	1.09827
169	1.09908
170	1.09992
171	1.10078
172	1.10165
173	1.10253
174	1.10338
175	1.10419
176	1.10496
177	1.10566
178	1.10627
179	1.10678
180	1.10718
181	1.10745
182	1.10758
183	1.10758
184	1.10743
185	1.10714
186	1.10669
187	1.10611
188	1.10538
189	1.10453
190	1.10356
191	1.10248
192	1.10131
193	1.10005
194	1.09873
195	1.09736
196	1.09596
197	1.09454
198	1.09311
199	1.09169
200	1.0903
201	1.08894
202	1.08763
203	1.08638
204	1.0852
205	1.08409
206	1.08308
207	1.08216
208	1.08135
209	1.08065
210	1.08006
211	1.0796
212	1.07927
213	1.07907
214	1.07902
215	1.07912
216	1.07938
217	1.0798
218	1.0804
219	1.08119
220	1.08216
221	1.08333
222	1.08471
223	1.08629
224	1.08808
225	1.09007
226	1.09228
227	1.09469
228	1.0973
229	1.10009
230	1.10306
231	1.10618
232	1.10944
233	1.11282
234	1.1163
235	1.11984
236	1.12343
237	1.12704
238	1.13064
239	1.13421
240	1.13772
241	1.14116
242	1.1445
243	1.14772
244	1.1508
245	1.15374
246	1.15652
247	1.15912
248	1.16155
249	1.1638
250	1.16587
251	1.16776
252	1.16946
253	1.17099
254	1.17235
255	1.17354
256	1.17457
257	1.17545
258	1.17619
259	1.1768
260	1.17728
261	1.17765
262	1.17791
263	1.17807
264	1.17815
265	1.17814
266	1.17805
267	1.17791
268	1.1777
269	1.17743
270	1.17712
271	1.17677
272	1.17637
273	1.17594
274	1.17548
275	1.17499
276	1.17447
277	1.17392
278	1.17335
279	1.17275
280	1.17213
281	1.17148
282	1.1708
283	1.17009
284	1.16934
285	1.16856
286	1.16774
287	1.16687
288	1.16596
289	1.165
290	1.16398
291	1.1629
292	1.16177
293	1.16056
294	1.15929
295	1.15794
296	1.15652
297	1.15503
298	1.15345
299	1.1518
300	1.15007
301	1.14826
302	1.14638
303	1.14443
304	1.1424
305	1.14032
306	1.13818
307	1.13598
308	1.13374
309	1.13146
310	1.12914
311	1.1268
312	1.12443
313	1.12205
314	1.11966
315	1.11726
316	1.11486
317	1.11245
318	1.11004
319	1.10764
320	1.10523
321	1.10282
322	1.10041
323	1.09799
324	1.09556
325	1.09313
326	1.09068
327	1.08822
328	1.08575
329	1.08327
330	1.08077
331	1.07826
332	1.07574
333	1.07321
334	1.07069
335	1.06818
336	1.06569
337	1.06323
338	1.06081
339	1.05844
340	1.05615
341	1.05394
342	1.05182
343	1.04981
344	1.04793
345	1.04619
346	1.0446
347	1.04317
348	1.04192
349	1.04085
350	1.03998
351	1.0393
352	1.03883
353	1.03856
354	1.0385
355	1.03865
356	1.03901
357	1.03957
358	1.04033
359	1.04129
360	1.04243
361	1.04375
362	1.04524
363	1.04688
364	1.04867
365	1.05059
366	1.05263
367	1.05478
368	1.05702
369	1.05934
370	1.06172
371	1.06415
372	1.06662
373	1.06911
374	1.07161
375	1.07412
376	1.0766
377	1.07907
378	1.0815
379	1.08389
380	1.08623
381	1.08851
382	1.09073
383	1.09287
384	1.09494
385	1.09692
386	1.09882
387	1.10063
388	1.10234
389	1.10396
390	1.10547
391	1.10687
392	1.10815
393	1.10931
394	1.11035
395	1.11125
396	1.11202
397	1.11263
398	1.1131
399	1.1134
400	1.11354
401	1.11352
402	1.11331
403	1.11294
404	1.11238
405	1.11165
406	1.11074
407	1.10967
408	1.10843
409	1.10705
410	1.10554
411	1.10391
412	1.10218
413	1.10038
414	1.09853
415	1.09665
416	1.09478
417	1.09295
418	1.09117
419	1.08947
420	1.08788
421	1.08641
422	1.08509
423	1.08392
424	1.0829
425	1.08205
426	1.08135
427	1.0808
428	1.08038
429	1.08008
430	1.07987
431	1.07974
432	1.07966
433	1.0796
434	1.07954
435	1.07947
436	1.07935
437	1.07918
438	1.07893
439	1.07859
440	1.07815
441	1.07761
442	1.07696
443	1.0762
444	1.07534
445	1.07438
446	1.07332
447	1.07218
448	1.07096
449	1.06967
450	1.06832
451	1.06694
